# ALL NEURONS
# step              C (avg)             C (min)             C (max)             C (var)             C (std_dev)         axons (avg)         axons (min)         axons (max)         axons (var)         axons (std_dev)     axons.c (avg)       axons.c (min)       axons.c (max)       axons.c (var)       axons.c (std_dev)   den.ex (avg)        den.ex (min)        den.ex (max)        den.ex (var)        den.ex (std_dev)    den.ex.c (avg)      den.ex.c (min)      den.ex.c (max)      den.ex.c (var)      den.ex.c (std_dev)  
1000                0.04229419          0.02565232          0.05998769          0.00003254          0.00570457          1.19781371          1.09056786          1.28929623          0.00355369          0.05961285          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.19872769          1.09833428          1.29437225          0.00314053          0.05604046          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
# ALL NEURONS
# step              C (avg)             C (min)             C (max)             C (var)             C (std_dev)         axons (avg)         axons (min)         axons (max)         axons (var)         axons (std_dev)     axons.c (avg)       axons.c (min)       axons.c (max)       axons.c (var)       axons.c (std_dev)   den.ex (avg)        den.ex (min)        den.ex (max)        den.ex (var)        den.ex (std_dev)    den.ex.c (avg)      den.ex.c (min)      den.ex.c (max)      den.ex.c (var)      den.ex.c (std_dev)  
0                   0.00000000          0.00000000          0.00000000          0.00000000          0.00000000          1.20780978          1.10056369          1.29929227          0.00355369          0.05961283          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000          1.20209857          1.10161878          1.29767588          0.00314099          0.05604450          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000          
100                 0.00393017          0.00000000          0.00894251          0.00000284          0.00168421          1.20680997          1.09956391          1.29829246          0.00355369          0.05961283          0.66500000          0.00000000          1.00000000          0.22277500          0.47199047          1.20168908          1.10120996          1.29726587          0.00314102          0.05604482          0.48500000          0.00000000          1.00000000          0.24977500          0.49977495          
200                 0.00827825          0.00198263          0.01580749          0.00000508          0.00225442          1.20581019          1.09856419          1.29729269          0.00355369          0.05961282          0.88000000          0.00000000          1.00000000          0.10560000          0.32496154          1.20129498          1.10082012          1.29687112          0.00314101          0.05604475          0.68000000          0.00000000          1.00000000          0.21760000          0.46647615          
300                 0.01243000          0.00688179          0.01972187          0.00000740          0.00272011          1.20481045          1.09756451          1.29629294          0.00355369          0.05961282          0.98500000          0.00000000          1.00000000          0.01477500          0.12155246          1.20091618          1.10044353          1.29649939          0.00314098          0.05604440          0.78500000          0.00000000          1.00000000          0.16877500          0.41082235          
400                 0.01688809          0.00780967          0.02650109          0.00001199          0.00346298          1.20381074          1.09656485          1.29529323          0.00355369          0.05961282          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.20055380          1.10009029          1.29614791          0.00314090          0.05604373          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
500                 0.02106322          0.00972519          0.03027141          0.00001434          0.00378681          1.20281108          1.09556522          1.29429356          0.00355369          0.05961282          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.20020781          1.09975314          1.29581195          0.00314087          0.05604344          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
600                 0.02531674          0.01460069          0.03590436          0.00001515          0.00389273          1.20181147          1.09456563          1.29329392          0.00355369          0.05961282          1.00000000          1.00000000          1.00000000          0.00000000          0.00000000          1.19987790          1.09943505          1.29548987          0.00314079          0.05604277          0.80000000          0.00000000          1.00000000          0.16000000          0.40000000          
