
======== TIMERS GLOBAL OVER ALL RANKS ========
                                                (                   min |                    avg |                    max) sec.
        Find synapses to delete                :              0.0001082 |               0.000109 |              0.0001098
        Exchange deletions (w/ alltoall)       :                1.6e-05 |               1.66e-05 |               1.72e-05
        Process deletion requests              :                1.6e-05 |               1.66e-05 |               1.72e-05
      Update leaf nodes                        :              0.0007531 |              0.0007553 |              0.0007575
      Update local trees                       :              0.0061878 |              0.0062597 |              0.0063316
      Exchange branch nodes (w/ Allgather)     :              0.0001266 |             0.00020265 |              0.0002787
      Insert branch nodes into global tree     :                5.5e-06 |               5.75e-06 |                  6e-06
      Update global tree                       :               7.67e-05 |              7.965e-05 |               8.26e-05
      Find target neurons (w/ RMA)             :              0.0391194 |              0.0487495 |              0.0583796
        FMM: Calculate Taylor Coefficients     :                      0 |                      0 |                      0
        FMM: Calculate Hermite Coefficients    :                      0 |                      0 |                      0
      Empty remote nodes cache                 :              0.0004712 |             0.00055025 |              0.0006293
      Create synapses                          :              0.0640509 |             0.06405375 |              0.0640566
        Create synapses Exchange Requests      :              0.0021783 |              0.0118011 |              0.0214239
        Create synapses Process Requests       :              0.0020845 |              0.0020978 |              0.0021111
        Create synapses Exchange Responses     :                0.00079 |             0.00081065 |              0.0008313
        Create synapses Process Responses      :              0.0005623 |             0.00057785 |              0.0005934
      Add synapses in local network graphs     :               0.000155 |             0.00015515 |              0.0001553




======== TIMERS GLOBAL OVER ALL RANKS ========
                                                (                   min |                    avg |                    max) sec.
TIMERS: main()
  Initialization                               :              0.7506561 |              0.7507707 |              0.7508853
    Load Synapses                              :                4.8e-06 |               5.45e-06 |                6.1e-06
    Translate Global IDs                       :               1.65e-05 |              1.705e-05 |               1.76e-05
    Initialize Network Graph                   :                  5e-07 |                7.5e-07 |                  1e-06
  Simulation loop                              :              0.2349084 |             0.23507845 |              0.2352485
    Update electrical activity                 :              0.1435419 |             0.14474775 |              0.1459536
      Prepare sending spikes                   :              0.0035251 |             0.00358695 |              0.0036488
      Exchange neuron ids                      :              0.0301462 |              0.0343413 |              0.0385364
      Calculate serial activity setup          :              0.0082328 |              0.0082461 |              0.0082594
      Calculate synaptic background            :              0.0005454 |             0.00055215 |              0.0005589
      Calculate synaptic input                 :              0.0553636 |             0.05813115 |              0.0608987
      Calculate activity                       :              0.0340601 |              0.0343483 |              0.0346365
    Update #synaptic elements delta            :              0.0129514 |             0.01296855 |              0.0129857
    Connectivity update                        :              0.0719882 |             0.07199375 |              0.0719993
      Delete synapses                          :               0.001085 |              0.0010925 |                 0.0011
        Commit #synaptic elements              :              0.0004547 |             0.00047155 |              0.0004884
        Find synapses to delete                :              0.0001324 |             0.00013455 |              0.0001367
        Exchange deletions (w/ alltoall)       :                1.9e-05 |               1.98e-05 |               2.06e-05
        Process deletion requests              :                1.9e-05 |               1.98e-05 |               2.06e-05
      Update leaf nodes                        :              0.0008194 |              0.0008433 |              0.0008672
      Update local trees                       :              0.0064451 |              0.0066519 |              0.0068587
      Exchange branch nodes (w/ Allgather)     :              0.0001622 |               0.000399 |              0.0006358
      Insert branch nodes into global tree     :                7.9e-06 |               8.25e-06 |                8.6e-06
      Update global tree                       :               8.09e-05 |               8.48e-05 |               8.87e-05
