# num_vertices: 51842
# num_edges: 426124
# min_x: -71.6522
# min_y: -122.577
# min_z: -30.2009
# Offset added
# min_x: 0
# min_y: 0
# min_z: 0
# min vertex degree: 6
# max vertex degree: 1246
# Vertices: 51842
# Add offset (x y z) to get original positions: (-71.652210 -122.577140 -30.200880)
# Position (x y z)	Area
9.717210 60.868370 61.815030 	lh.middletemporal
9.157860 61.106700 59.611730 	lh.middletemporal
15.741690 60.882380 56.123590 	lh.bankssts
17.700860 61.481600 55.710710 	lh.bankssts
16.367990 61.285180 54.686420 	lh.bankssts
13.128780 61.074220 55.490120 	lh.bankssts
13.295540 62.081920 54.066220 	lh.bankssts
10.852600 61.029910 56.198540 	lh.bankssts
10.744050 61.839880 55.022950 	lh.bankssts
9.531120 61.340290 57.028480 	lh.middletemporal
6.744200 60.410590 67.432950 	lh.bankssts
4.900860 59.166260 69.158910 	lh.superiortemporal
15.337280 59.161150 65.832820 	lh.bankssts
18.086490 59.096440 64.558060 	lh.bankssts
17.490870 61.697240 62.387040 	lh.bankssts
13.858610 68.672300 71.154280 	lh.superiortemporal
17.963630 68.593250 68.944740 	lh.superiortemporal
18.820390 71.006520 68.650090 	lh.superiortemporal
17.208630 71.245040 68.619400 	lh.superiortemporal
15.832150 69.047330 72.260950 	lh.supramarginal
11.261930 67.823060 55.184430 	lh.bankssts
13.698220 69.000210 55.154120 	lh.bankssts
12.266240 69.270030 54.974330 	lh.bankssts
17.611270 70.542790 54.091230 	lh.bankssts
11.782750 59.821990 35.237210 	lh.inferiortemporal
24.923320 47.261040 57.876530 	lh.middletemporal
22.322870 49.702330 55.343050 	lh.middletemporal
21.305000 49.670880 54.862500 	lh.middletemporal
21.268540 49.720290 54.875590 	lh.middletemporal
6.877910 60.888240 44.420910 	lh.middletemporal
6.862840 61.002160 44.220180 	lh.middletemporal
16.124990 62.091720 53.671570 	lh.bankssts
16.451050 64.800640 53.068230 	lh.bankssts
20.196990 65.977100 52.891100 	lh.bankssts
17.195830 66.054790 53.217120 	lh.bankssts
11.907960 62.751570 54.160300 	lh.bankssts
9.422570 62.150260 55.852890 	lh.middletemporal
8.120900 59.852060 66.973120 	lh.bankssts
12.562350 59.666440 67.372480 	lh.bankssts
9.860190 60.742420 67.162930 	lh.bankssts
10.148530 61.888640 66.713920 	lh.bankssts
6.386080 61.992570 67.652250 	lh.bankssts
14.620850 62.587850 53.620630 	lh.bankssts
17.423810 63.611700 53.093380 	lh.bankssts
14.788610 64.118520 53.323280 	lh.bankssts
11.820130 64.220770 54.297970 	lh.bankssts
12.599350 60.405190 66.574030 	lh.bankssts
13.782460 59.963840 65.731250 	lh.bankssts
15.249480 60.801670 63.891450 	lh.bankssts
21.053430 69.040440 53.151710 	lh.bankssts
20.144370 74.894370 50.273330 	lh.bankssts
24.324260 52.922800 44.920850 	lh.fusiform
24.549020 55.196220 43.038200 	lh.fusiform
21.424950 63.471550 33.960940 	lh.fusiform
23.371340 68.602370 33.372200 	lh.fusiform
